"","SampleNumber","Date","re","cv"
"78",8,1595030400,0.0714449804732369,0.592328696775718
"79",9,1595030400,0,0.554470137958599
"80",9,1595030400,0,0.554470137958599
"81",9,1595030400,0,0.554470137958599
"82",1,1595635200,0.329545454545455,NA
"83",1,1595635200,0.366726296958855,NA
"84",1,1595635200,5.94117647058824,NA
"85",2,1595635200,0.374005305039788,0.698979117034978
"86",2,1595635200,0.140096618357488,0.111588509752466
"87",2,1595635200,0.0809160305343511,0.999665464700371
"88",3,1595635200,0.378220140515223,0.452283656578888
"89",3,1595635200,0.277978339350181,0.864551220782261
"90",3,1595635200,0.359855334538879,0.506939053961642
"91",4,1595635200,0.107981220657277,1.14189825683172
"92",4,1595635200,0.233449477351916,0.693633627131596
"93",4,1595635200,0.107981220657277,1.14189825683172
"94",5,1595635200,0.735294117647059,0.60664611737508
"95",5,1595635200,0.21193232413179,0.546923511457703
"96",5,1595635200,0.292283086765294,0.470206220198507
"97",6,1595635200,0.143548387096774,0.572547704640836
"98",6,1595635200,0.0604093859211184,0.804045383336292
"99",6,1595635200,0.234883720930232,0.745362079481828
"100",7,1595635200,0.235294117647059,0.680646070082462
"101",7,1595635200,0.0811518324607329,0.840308737101304
"102",7,1595635200,0.0433684210526316,0.805014239707048
"103",8,1595635200,0.0347648261758691,0.721286425713759
"104",8,1595635200,0.0780357822611344,0.775775305224261
"105",8,1595635200,0.00666432830585759,0.75079671406564
"106",9,1595635200,0,0.707304244257665
"107",9,1595635200,0,0.707304244257665
"108",9,1595635200,0,0.707304244257665
"109",1,1596240000,0.0778787878787878,NA
"110",1,1596240000,0.302549019607843,NA
"111",1,1596240000,0.922702702702703,NA
"112",2,1596240000,0.207795100222717,0.321269005260703
"113",2,1596240000,0.352471482889734,0.419424554620157
"114",2,1596240000,0.319851576994434,0.317476514002123
"115",3,1596240000,0.240498220640569,0.234042521836489
"116",3,1596240000,0.236500579374276,0.669990176086576
"117",3,1596240000,0.109265442404007,0.240117912456261
"118",4,1596240000,0.131379731379731,0.400302228981539
"119",4,1596240000,0.0392987582176771,0.38843544184943
"120",4,1596240000,0.0954863318499682,0.444533999546516
"121",5,1596240000,0.284115523465704,0.332002408405042
"122",5,1596240000,0.426222935044106,0.345765773938342
"123",5,1596240000,0.112257661038149,0.507850502775704
"124",6,1596240000,0.032108843537415,0.44719248537761
"125",6,1596240000,0.0784974093264249,0.475242809172892
"126",6,1596240000,0.0684417285028372,0.33178374945767
"127",7,1596240000,0.000441589723002774,0.401146550223785
"128",7,1596240000,0.0755507559395248,0.482841921353733
"129",7,1596240000,0.00805668016194336,0.399241332248198
"130",8,1596240000,0.0162857142857143,0.373357627975306
"131",8,1596240000,0.00573025856044727,0.399151106850299
"132",8,1596240000,0.0611679313757836,0.401605340996561
"133",9,1596240000,0.0506399737446669,0.42964036899842
"134",9,1596240000,0.0724623115577888,0.404138211191552
"135",9,1596240000,0.0649700598802395,0.414505793119555
"136",1,1596844800,0.0834371108343711,NA
"137",1,1596844800,0.0717703349282297,NA
"138",1,1596844800,0.0717703349282297,NA
"139",2,1596844800,0.267036562811211,0.106232004685303
"140",2,1596844800,0.0118910625239739,0.349078031218675
"141",2,1596844800,0.213377296278851,0.751071969654105
"142",3,1596844800,0.0392684238838085,0.509922314627374
"143",3,1596844800,0.214154972544234,0.309476215773302
"144",3,1596844800,0.00363636363636362,0.241015072777871
"145",4,1596844800,0.311024874355875,0.252911267267982
"146",4,1596844800,0.129030894721271,0.31473378347209
"147",4,1596844800,0.246476743482732,0.308841104611802
"148",5,1596844800,0.338946930713655,0.400990657525644
"149",5,1596844800,0.161040248794339,0.518175051463027
"150",5,1596844800,0.156101556101556,0.40864769531325
"151",6,1596844800,0.108727618718104,0.305904692658829
"152",6,1596844800,0.0267379679144385,0.366838891884493
"153",6,1596844800,0.00940438871473357,0.328249102430053
"154",7,1596844800,0.0728224654926226,0.461352273919264
"155",7,1596844800,0.110058237094068,0.379889816053076
"156",7,1596844800,0.0382676871383237,0.364817975299706
"157",8,1596844800,0.0460382721689255,0.366498997215615
"158",8,1596844800,0.0222053520592142,0.437180320482335
"159",8,1596844800,0.0748448338809785,0.33664223499229
"160",9,1596844800,0.0110992389716304,0.434105963972162
"161",9,1596844800,0.00793769657031593,0.434621877012461
"162",9,1596844800,0.0356935447844539,0.435344107052543
"163",1,1597449600,0.185268242194238,NA
"164",1,1597449600,0.280797929039135,NA
"165",1,1597449600,0.262834224598931,NA
"166",2,1597449600,0.186040499784576,0.494639625133338
"167",2,1597449600,0.131392981195353,0.147197459061231
"168",2,1597449600,0.0645672410378293,0.123243011971512
"169",3,1597449600,0.218865428083136,0.346507222219521
"170",3,1597449600,0.175885534810679,0.66174844232331
"171",3,1597449600,0.0532223295919126,0.307566822314171
"172",4,1597449600,0.0108620043876077,0.283722341374775
"173",4,1597449600,0.0324199743918054,0.594056479837168
"174",4,1597449600,0.14554500226142,0.486187522945249
"175",5,1597449600,0.0381132407244593,0.59294567005778
"176",5,1597449600,0.124819330689694,0.367419907359489
"177",5,1597449600,0.0604734434056097,0.426732310622488
"178",6,1597449600,0.00632102272727271,0.483546165873797
"179",6,1597449600,0.0934557802129958,0.384645082094552
"180",6,1597449600,0.146498361451633,0.533216312385392
"181",7,1597449600,0.0825563325563325,0.490854956337216
"182",7,1597449600,0.175878503343292,0.569384196779652
"183",7,1597449600,0.0686255176493788,0.45223473945468
"184",8,1597449600,0.0671077971458199,0.458240871935402
"185",8,1597449600,0.00523918595160991,0.4241607616646
"186",8,1597449600,0.0318745516039766,0.412684033924737
"187",9,1597449600,0.0572565601293372,0.489217158479373
"188",9,1597449600,0.109148314372195,0.510419006903803
"189",9,1597449600,0.109148314372195,0.510419006903803
"190",1,1598054400,0.0825,NA
"191",1,1598054400,0.5588,NA
"192",1,1598054400,0.17027027027027,NA
"193",2,1598054400,0.124675324675325,0.0550992297028479
"194",2,1598054400,0.327768313458262,0.243331464735405
"195",2,1598054400,0.124675324675325,0.0550992297028479
"196",3,1598054400,0.135920177383592,0.402443605551979
"197",3,1598054400,0.130133928571429,0.60786869034902
"198",3,1598054400,0.142888563049853,0.450881553533397
"199",4,1598054400,0.0426755852842809,0.715402257476935
"200",4,1598054400,0.0336870026525199,0.603023042720782
"201",4,1598054400,0.207436096049574,0.306361865813455
"202",5,1598054400,0.2059902200489,0.411364601459935
"203",5,1598054400,0.2388671875,0.367226456543836
"204",5,1598054400,0.0641725832878209,0.466132403012408
"205",6,1598054400,0.0662106703146375,0.48232353200697
"206",6,1598054400,0.0686471663619743,0.59641251086684
"207",6,1598054400,0.0233082706766918,0.622727084223695
"208",7,1598054400,0.0836748404433994,0.510318736392252
"209",7,1598054400,0.116618911174785,0.447187281060307
"210",7,1598054400,0.00514223194748364,0.449659201583826
